code,name,region
CTY00001,ヌツノアカ,アジア
CTY00002,ツサスネカ,アフリカ
CTY00003,タクコオニ,オセアニア
CTY00004,ソサセキア,南米
CTY00005,カニタヌイ,オセアニア
CTY00006,アイククク,アジア
CTY00007,タヌイテニ,南米
CTY00008,エウヌクネ,アジア
CTY00009,ヌエコキコ,北米
CTY00010,シコキネキ,アフリカ
CTY00011,ソツセオク,ヨーロッパ
CTY00012,ノニセニカ,アジア
CTY00013,コノイヌツ,アジア
CTY00014,ツノキヌツ,南米
CTY00015,オタオウク,北米
CTY00016,ナナネヌカ,アフリカ
CTY00017,ヌケタタソ,北米
CTY00018,コエオカウ,南米
CTY00019,エナソクト,北米
CTY00020,ニナセアシ,オセアニア
CTY00021,シニイアチ,アジア
CTY00022,トネソソシ,アジア
CTY00023,イノテカノ,アフリカ
CTY00024,ネノキケソ,北米
CTY00025,コヌイオツ,北米
CTY00026,トイニケニ,ヨーロッパ
CTY00027,ソソチスキ,アジア
CTY00028,ケクキウノ,ヨーロッパ
CTY00029,クナオツコ,アフリカ
CTY00030,サニカウナ,アジア
CTY00031,チヌニキテ,南米
CTY00032,シオケトケ,オセアニア
CTY00033,セコエネニ,北米
CTY00034,ソトツヌカ,オセアニア
CTY00035,コカオナト,南米
CTY00036,ナアコシヌ,オセアニア
CTY00037,コカヌツキ,北米
CTY00038,カタネクオ,アフリカ
CTY00039,ウテオイネ,アフリカ
CTY00040,オノセイチ,北米
CTY00041,サニイアニ,アジア
CTY00042,テヌオエセ,ヨーロッパ
CTY00043,ヌチキアウ,アジア
CTY00044,コセネチコ,アジア
CTY00045,タテエキノ,南米
CTY00046,エシアテス,アジア
CTY00047,ウカイケネ,ヨーロッパ
CTY00048,クソニノツ,北米
CTY00049,タヌアクク,アフリカ
CTY00050,クソネカノ,アフリカ
CTY00051,クニニトニ,北米
CTY00052,クテアケイ,アジア
CTY00053,ツツタタニ,ヨーロッパ
CTY00054,オイウシツ,アフリカ
CTY00055,ウウテクニ,アフリカ
CTY00056,タニナタク,オセアニア
CTY00057,ヌコソテテ,北米
CTY00058,シオツセオ,アフリカ
CTY00059,コセイサネ,南米
CTY00060,オタチセキ,北米
CTY00061,テニクタカ,アフリカ
CTY00062,アナキキト,オセアニア
CTY00063,シアコイソ,北米
CTY00064,ヌノウカニ,アフリカ
CTY00065,ツツスイト,南米
CTY00066,ニナソサチ,オセアニア
CTY00067,アチチノシ,アフリカ
CTY00068,トササトチ,アジア
CTY00069,カナテケア,北米
CTY00070,オテスイノ,アフリカ
CTY00071,サヌタケキ,北米
CTY00072,セアサテア,南米
CTY00073,アイオキサ,アジア
CTY00074,スニキナカ,北米
CTY00075,ノウケチト,南米
CTY00076,アソセセヌ,アジア
CTY00077,ウキケコタ,北米
CTY00078,ウツクテカ,アフリカ
CTY00079,コテエシス,北米
CTY00080,カコウソキ,ヨーロッパ
CTY00081,テアサノア,南米
CTY00082,テナエエク,アジア
CTY00083,スエスイニ,アジア
CTY00084,コツオナク,アジア
CTY00085,ソカシスツ,アジア
CTY00086,オシニヌエ,北米
CTY00087,ツスチツテ,南米
CTY00088,ネエヌカニ,アフリカ
CTY00089,ナウアオチ,南米
CTY00090,トニノスノ,南米
CTY00091,イシシチセ,ヨーロッパ
CTY00092,ソエイアケ,アジア
CTY00093,ケクカノカ,南米
CTY00094,ニトタチノ,アジア
CTY00095,ニトアタシ,ヨーロッパ
CTY00096,シソケセツ,ヨーロッパ
CTY00097,セクチタト,アジア
CTY00098,カコノアセ,オセアニア
CTY00099,サキセスネ,南米
CTY00100,ナカエオサ,南米
CTY00101,イテエナツ,アフリカ
CTY00102,ツトコタテ,アフリカ
CTY00103,ヌソスチソ,ヨーロッパ
CTY00104,ニヌクタオ,南米
CTY00105,サイトケテ,アジア
CTY00106,キウタトタ,アフリカ
CTY00107,セセケネサ,南米
CTY00108,クキウツト,オセアニア
CTY00109,ニナソキニ,ヨーロッパ
CTY00110,ソニエカウ,アフリカ
CTY00111,チニテニノ,アジア
CTY00112,テセシチソ,北米
CTY00113,ケトウニノ,オセアニア
CTY00114,シノケアキ,アジア
CTY00115,エウコソキ,オセアニア
CTY00116,サエキトイ,アジア
CTY00117,アコヌテト,ヨーロッパ
CTY00118,カセシクサ,アフリカ
CTY00119,エナスタウ,南米
CTY00120,シトノカコ,アジア
CTY00121,サトコオス,アフリカ
CTY00122,アセサオオ,ヨーロッパ
CTY00123,イチチサケ,南米
CTY00124,スオニキケ,オセアニア
CTY00125,イセサアア,南米
CTY00126,セテトタニ,北米
CTY00127,アナナウツ,南米
CTY00128,ツノヌサチ,オセアニア
CTY00129,シニニオソ,北米
CTY00130,アシシヌク,南米
CTY00131,カキコソイ,アフリカ
CTY00132,カトチケサ,オセアニア
CTY00133,ネシカアサ,アフリカ
CTY00134,アコヌヌカ,北米
CTY00135,ヌキスノエ,アジア
CTY00136,アシサケト,北米
CTY00137,コアシニタ,南米
CTY00138,コテケスニ,アフリカ
CTY00139,ウサシカニ,ヨーロッパ
CTY00140,ソケケソア,ヨーロッパ
CTY00141,クナソタト,南米
CTY00142,スヌナスア,アフリカ
CTY00143,ニネトオシ,オセアニア
CTY00144,タサオチヌ,オセアニア
CTY00145,タケタサツ,南米
CTY00146,ストウトヌ,ヨーロッパ
CTY00147,ウネナシウ,アフリカ
CTY00148,テネエナキ,北米
CTY00149,ナサトカツ,ヨーロッパ
CTY00150,スニテコイ,ヨーロッパ
CTY00151,チイテイア,北米
CTY00152,ネナナエナ,オセアニア
CTY00153,カツトタク,北米
CTY00154,エクセエニ,南米
CTY00155,セセアスス,南米
CTY00156,エキヌニネ,南米
CTY00157,スシイソエ,オセアニア
CTY00158,エククエニ,オセアニア
CTY00159,トカアコイ,南米
CTY00160,コニタスエ,アフリカ
CTY00161,テチノオト,オセアニア
CTY00162,キヌツヌノ,ヨーロッパ
