code,name,region
CTY00001,旧シナニキケ,オセアニア
CTY00002,旧ヌエオスア,オセアニア
CTY00003,旧チオニアエ,アフリカ
CTY00004,旧セセイノチ,アフリカ
CTY00005,旧テウノネテ,南米
CTY00006,旧キトソノチ,ヨーロッパ
CTY00007,旧ウイナナヌ,アフリカ
CTY00008,旧ナナノヌウ,南米
CTY00009,旧ノノオアテ,南米
CTY00010,旧ネシカコキ,アフリカ
CTY00011,旧ニソイシナ,オセアニア
CTY00012,旧クシカオク,ヨーロッパ
CTY00013,旧キクテテク,ヨーロッパ
CTY00014,旧スネタケエ,オセアニア
CTY00015,旧サウネナケ,アジア
CTY00016,旧カコアキサ,南米
CTY00017,旧イコカアテ,アジア
CTY00018,旧ナナノクオ,オセアニア
CTY00019,旧エシヌテサ,南米
CTY00020,旧シウツニセ,ヨーロッパ
CTY00021,旧チスクキト,アジア
CTY00022,旧クニチニサ,南米
CTY00023,旧サチクセク,ヨーロッパ
CTY00024,旧コクアイア,北米
CTY00025,旧オソタスセ,南米
CTY00026,旧アケチセノ,アフリカ
CTY00027,旧タクタニサ,南米
CTY00028,旧ウエヌチケ,オセアニア
CTY00029,旧キネネエエ,南米
CTY00030,旧トテノシケ,アフリカ
CTY00031,旧クオクナキ,アフリカ
CTY00032,旧テナコイサ,南米
CTY00033,旧カケタサチ,オセアニア
CTY00034,旧エアテツア,南米
CTY00035,旧キクカコキ,オセアニア
CTY00036,旧チノコヌチ,ヨーロッパ
CTY00037,旧ソテトツセ,オセアニア
CTY00038,旧カオノニナ,アジア
CTY00039,旧キキシケノ,ヨーロッパ
CTY00040,旧イセセネニ,アジア
CTY00041,旧シトキスカ,アフリカ
CTY00042,旧ヌエウセサ,オセアニア
CTY00043,旧チコキネサ,アフリカ
CTY00044,旧タツネシイ,北米
CTY00045,旧ネシソチケ,ヨーロッパ
CTY00046,旧トイニセタ,アジア
CTY00047,旧トテセクタ,南米
CTY00048,旧ノヌツケサ,アフリカ
CTY00049,旧オナキクツ,ヨーロッパ
CTY00050,旧アコネセタ,アジア
CTY00051,旧セノセエク,アジア
CTY00052,旧ヌウニネコ,アジア
CTY00053,旧サササイテ,アジア
CTY00054,旧ノシケエナ,アフリカ
CTY00055,旧コトソツア,南米
CTY00056,旧エオススア,南米
CTY00057,旧セテカニケ,ヨーロッパ
CTY00058,旧エタアササ,ヨーロッパ
CTY00059,旧キケトカウ,南米
CTY00060,旧オテツネチ,ヨーロッパ
CTY00061,旧ソアサノツ,アジア
CTY00062,旧シキウイク,ヨーロッパ
CTY00063,旧ネケソテエ,ヨーロッパ
CTY00064,旧ケオネニニ,アジア
CTY00065,旧テアクツテ,オセアニア
CTY00066,旧ツソチチオ,アフリカ
CTY00067,旧アウナクキ,ヨーロッパ
CTY00068,旧イコアシコ,南米
CTY00069,旧サセケエヌ,アフリカ
CTY00070,旧コアノキヌ,アジア
CTY00071,旧コクスセコ,アジア
CTY00072,旧キニヌネソ,南米
CTY00073,旧ナトエイシ,北米
CTY00074,旧チアテスエ,南米
CTY00075,旧セテクソナ,北米
CTY00076,旧コシツキス,南米
CTY00077,旧オシチコシ,オセアニア
CTY00078,旧スエイイテ,ヨーロッパ
CTY00079,旧スオテケイ,南米
CTY00080,旧イカケソヌ,南米
CTY00081,旧ケカサソサ,アフリカ
CTY00082,旧クヌテニキ,アフリカ
CTY00083,旧スヌチテエ,南米
CTY00084,旧ナトウテヌ,オセアニア
CTY00085,旧タオシテソ,北米
CTY00086,旧セスイカソ,オセアニア
CTY00087,旧カイニテテ,オセアニア
CTY00088,旧オアテトノ,北米
CTY00089,旧スチイツト,アフリカ
CTY00090,旧ナイヌケカ,アジア
CTY00091,旧セサオイイ,アフリカ
CTY00092,旧ウテイセネ,北米
CTY00093,旧テシチクイ,アフリカ
CTY00094,旧ソノセクツ,アフリカ
CTY00095,旧セテニチタ,アフリカ
CTY00096,旧ウヌチチヌ,アフリカ
CTY00097,旧イネナノア,北米
CTY00098,旧ニチサタナ,北米
CTY00099,旧ソクコクク,南米
CTY00100,旧ツセイケイ,ヨーロッパ
CTY00101,旧オアネトソ,オセアニア
CTY00102,旧カコイセキ,ヨーロッパ
CTY00103,旧サチソタウ,北米
CTY00104,旧セカトスヌ,南米
CTY00105,旧テサノキサ,オセアニア
CTY00106,旧テニキイク,北米
CTY00107,旧スクセアカ,ヨーロッパ
CTY00108,旧カナトカク,アフリカ
CTY00109,旧タシイケケ,ヨーロッパ
CTY00110,旧ノシソサス,アジア
CTY00111,旧ウチウネツ,南米
CTY00112,旧カノナノツ,南米
CTY00113,旧サノアイア,アフリカ
CTY00114,旧シカオテテ,アフリカ
CTY00115,旧ナキヌスネ,オセアニア
CTY00116,旧ツスソキネ,アフリカ
CTY00117,旧セタケトニ,アフリカ
CTY00118,旧セイアタコ,アフリカ
CTY00119,旧ネコセキエ,オセアニア
CTY00120,旧セシネウテ,オセアニア
CTY00121,旧ナノセネコ,北米
CTY00122,旧ケニトウネ,ヨーロッパ
CTY00123,旧シアクセニ,アフリカ
CTY00124,旧トツエネテ,オセアニア
CTY00125,旧チカイスウ,アフリカ
CTY00126,旧ヌセウイノ,アフリカ
CTY00127,旧ノサテネス,ヨーロッパ
CTY00128,旧ネアコタテ,オセアニア
CTY00129,旧テクオナク,ヨーロッパ
CTY00130,旧ネケソナテ,アジア
CTY00131,旧ナチテトコ,北米
CTY00132,旧テシナセエ,北米
CTY00133,旧アキウカス,オセアニア
CTY00134,旧ツオテソソ,アフリカ
CTY00135,旧ニセシスナ,南米
CTY00136,旧カセネオト,北米
CTY00137,旧ケエソカコ,アジア
CTY00138,旧セナニサチ,オセアニア
CTY00139,旧コサネソコ,オセアニア
CTY00140,旧テノウテス,オセアニア
CTY00141,旧ケトアネト,アフリカ
CTY00142,旧カヌネソシ,南米
